ZIP3,STATE,POPULATION,AP,DENT,INN_AP,INN_DENT,FRAC_INN_AP,FRAC_INN_DENT,GP,PED,SURG,PERIO,ENDO,PROSTHO,PP_AP,PP_DENT,PP_GP,PP_PED,PP_SURG,PP_PERIO,PP_ENDO,PP_PROSTHO
153,PA,183410,307,240,167,145,0.543974,0.604167,111,2,10,2,14,0,597.426710,764.208333,1652.342342,91705.000000,18341.000000,91705.000000,13100.714286,999999.000000
154,PA,141183,164,137,90,84,0.548780,0.613139,78,1,2,0,1,0,860.871951,1030.532847,1810.038462,141183.000000,70591.500000,999999.000000,141183.000000,999999.000000
155,PA,87596,82,68,35,30,0.426829,0.441176,25,1,0,0,1,0,1068.243902,1288.176471,3503.840000,87596.000000,999999.000000,999999.000000,87596.000000,999999.000000
156,PA,304096,647,456,356,290,0.550232,0.635965,226,7,18,5,17,1,470.009274,666.877193,1345.557522,43442.285714,16894.222222,60819.200000,17888.000000,304096.000000
157,PA,110378,214,149,136,100,0.635514,0.671141,75,4,6,1,12,1,515.785047,740.791946,1471.706667,27594.500000,18396.333333,110378.000000,9198.166667,110378.000000
158,PA,86817,95,75,25,23,0.263158,0.306667,16,0,6,0,1,0,913.863158,1157.560000,5426.062500,999999.000000,14469.500000,999999.000000,86817.000000,999999.000000
159,PA,138515,231,167,143,117,0.619048,0.700599,103,3,5,0,1,1,599.632035,829.431138,1344.805825,46171.666667,27703.000000,999999.000000,138515.000000,138515.000000
160,PA,194754,592,383,360,221,0.608108,0.577023,173,2,22,1,16,2,328.976351,508.496084,1125.745665,97377.000000,8852.454545,194754.000000,12172.125000,97377.000000
161,PA,217220,287,209,164,132,0.571429,0.631579,106,2,20,1,4,1,756.864111,1039.330144,2049.245283,108610.000000,10861.000000,217220.000000,54305.000000,217220.000000
162,PA,87108,64,59,30,30,0.468750,0.508475,26,1,2,0,0,0,1361.062500,1476.406780,3350.307692,87108.000000,43554.000000,999999.000000,999999.000000,999999.000000
163,PA,144885,137,119,49,49,0.357664,0.411765,44,0,3,0,1,0,1057.554745,1217.521008,3292.840909,999999.000000,48295.000000,999999.000000,144885.000000,999999.000000
164,PA,129246,79,68,29,22,0.367089,0.323529,19,0,2,0,0,0,1636.025316,1900.676471,6802.421053,999999.000000,64623.000000,999999.000000,999999.000000,999999.000000
165,PA,184436,291,222,118,92,0.405498,0.414414,80,1,6,0,2,0,633.800687,830.792793,2305.450000,184436.000000,30739.333333,999999.000000,92218.000000,999999.000000
166,PA,202371,205,180,68,68,0.331707,0.377778,61,0,6,0,2,0,987.175610,1124.283333,3317.557377,999999.000000,33728.500000,999999.000000,101185.500000,999999.000000
167,PA,46868,26,23,1,1,0.038462,0.043478,0,0,0,0,0,0,1802.615385,2037.739130,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000
168,PA,202894,206,155,50,47,0.242718,0.303226,41,0,2,0,6,0,984.922330,1308.993548,4948.634146,999999.000000,101447.000000,999999.000000,33815.666667,999999.000000
169,PA,64528,48,38,1,1,0.020833,0.026316,1,0,0,0,0,0,1344.333333,1698.105263,64528.000000,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000
170,PA,631483,733,572,237,190,0.323329,0.332168,149,35,14,1,6,0,861.504775,1103.991259,4238.140940,18042.371429,45105.928571,631483.000000,105247.166667,999999.000000
171,PA,168924,350,312,169,163,0.482857,0.522436,120,40,13,2,2,1,482.640000,541.423077,1407.700000,4223.100000,12994.153846,84462.000000,84462.000000,168924.000000
172,PA,209106,130,111,29,29,0.223077,0.261261,23,0,3,0,4,0,1608.507692,1883.837838,9091.565217,999999.000000,69702.000000,999999.000000,52276.500000,999999.000000
173,PA,338076,230,184,82,65,0.356522,0.353261,54,0,5,1,6,0,1469.895652,1837.369565,6260.666667,999999.000000,67615.200000,338076.000000,56346.000000,999999.000000
174,PA,179404,377,319,188,163,0.498674,0.510972,123,40,5,2,8,0,475.872679,562.394984,1458.569106,4485.100000,35880.800000,89702.000000,22425.500000,999999.000000
175,PA,338725,363,312,201,179,0.553719,0.573718,142,9,28,3,4,0,933.126722,1085.657051,2385.387324,37636.111111,12097.321429,112908.333333,84681.250000,999999.000000
176,PA,167466,545,411,330,254,0.605505,0.618005,168,49,31,8,16,3,307.277064,407.459854,996.821429,3417.673469,5402.129032,20933.250000,10466.625000,55822.000000
177,PA,169914,168,137,58,55,0.345238,0.401460,43,0,10,1,5,1,1011.392857,1240.248175,3951.488372,999999.000000,16991.400000,169914.000000,33982.800000,169914.000000
